ID;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Previous qualification (grade);Nationality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
353;1;1;4;171;1;1;127;1;1;1;9;5;124.2;1;0;0;0;0;0;19;;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Dropout
355;1;1;1;9254;1;1;127;1;19;19;4;6;120.7;0;0;1;0;0;0;22;;0;6;10;5;11;0;0;6;12;0;0;0;10.8;1.4;1.74;Dropout
377;1;18;4;9147;1;1;130;1;37;37;9;9;119.9;1;0;0;0;0;0;34;;0;5;5;0;0;0;0;5;0;0;0;0;9.4;-0.8;-3.12;Dropout
379;1;17;1;9853;1;1;125;1;3;3;3;3;116.6;1;0;0;0;0;1;18;;0;7;7;7;12.28571429;0;0;7;8;6;13.33333333;0;8.9;1.4;3.51;Enrolled
393;1;1;6;9773;1;1;141;1;30;37;7;7;128.4;1;0;1;0;0;0;18;;0;6;8;5;13;0;0;6;8;5;11.4;0;7.6;2.6;0.32;Dropout
394;1;17;2;9085;1;1;120;1;1;1;9;10;115;0;0;0;0;0;0;20;;0;5;8;2;10.5;0;0;5;8;2;12.33333333;0;7.6;2.6;0.32;Dropout
475;1;39;1;9254;1;9;133.1;1;34;34;0;0;110;1;0;0;0;0;0;28;;0;5;10;0;0;0;0;5;10;0;0;0;7.6;2.6;0.32;Dropout
496;1;7;3;9130;1;3;130;1;19;37;90;5;130;0;0;1;0;0;0;27;;1;5;6;2;11.5;0;0;5;5;1;11;0;12.7;3.7;-1.7;Dropout
1506;1;17;5;9773;1;1;122;1;38;38;7;7;123.1;1;0;0;0;0;0;19;;0;6;12;3;11;0;0;6;12;3;12;0;9.4;-0.8;-3.12;Dropout
1511;1;17;1;9254;1;1;127;1;1;1;4;8;126.7;1;0;0;0;1;0;22;;0;1;1;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
1517;1;7;1;9500;1;5;140;1;19;1;4;1;140;1;0;0;0;0;0;39;;0;7;0;0;0;0;0;8;0;0;0;0;12.4;0.5;1.79;Dropout
1520;1;39;1;9147;1;12;133.1;1;1;1;9;4;140;1;0;1;0;1;0;24;;0;5;5;0;0;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
1527;1;17;1;9773;1;1;112;1;1;1;5;1;111.7;0;0;1;0;1;0;19;;0;6;6;6;12.5;0;0;6;10;4;12.6;0;15.5;2.8;-4.06;Dropout
1539;1;18;5;9853;1;1;121;1;38;19;7;7;117.5;1;0;1;0;0;0;20;;0;6;14;2;12;0;0;6;14;3;11.66666667;0;10.8;1.4;1.74;Dropout
1540;2;39;1;9119;1;3;120;1;37;37;4;7;122.5;0;0;0;0;0;0;32;;0;5;6;0;0;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
1547;1;18;1;9773;1;1;125;1;19;37;9;5;122.2;0;0;0;0;0;0;18;;0;6;7;5;12.6;0;0;6;6;5;11.8;0;11.1;0.6;2.02;Enrolled
1548;2;39;1;9991;0;9;133.1;1;34;34;0;0;118.4;0;0;0;0;0;0;39;;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
1549;2;7;1;9254;1;2;100;1;37;37;9;9;100;0;0;0;0;0;0;37;;0;5;5;0;0;0;0;5;10;0;0;0;10.8;1.4;1.74;Dropout
1550;5;39;1;9500;1;1;110;1;38;38;9;9;110;0;0;0;0;0;0;37;;0;8;8;0;0;1;0;8;8;0;0;1;12.7;3.7;-1.7;Dropout
1564;1;44;1;9130;1;39;140;1;19;19;5;5;140;1;0;1;0;0;0;20;;1;6;11;3;12;0;0;6;11;2;11;0;12.4;0.5;1.79;Enrolled
1572;1;39;1;9003;1;19;133.1;1;37;37;9;10;120;0;0;1;0;1;0;38;;0;6;8;0;0;0;0;6;10;0;0;0;16.2;0.3;-0.92;Dropout
1573;6;39;1;9991;0;12;130;1;37;37;90;90;119;1;0;0;0;1;0;55;;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
1574;5;39;1;9003;1;1;133.1;1;37;37;9;7;110;0;0;1;0;0;0;28;;0;6;17;5;13;0;0;6;11;4;11.75;0;13.9;-0.3;0.79;Dropout
1579;1;1;3;9085;1;1;131;1;37;19;9;8;136.3;1;0;1;0;0;0;18;;0;5;7;3;13;0;0;5;8;3;12;0;7.6;2.6;0.32;Dropout
1594;1;1;3;171;1;1;129;1;38;37;9;3;127.3;1;0;1;0;1;1;19;;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Dropout
1605;1;39;1;9003;1;19;133.1;1;1;19;9;8;120;0;0;1;0;1;0;27;;0;6;11;2;11.5;0;0;6;7;0;0;0;8.9;1.4;3.51;Dropout
1614;1;39;1;8014;0;15;133.1;1;34;34;0;0;100;1;0;0;0;0;0;37;;0;5;9;0;0;0;0;5;5;0;0;5;9.4;-0.8;-3.12;Dropout
1623;2;39;1;9556;1;1;120;1;37;37;9;4;150;0;0;0;0;0;0;50;;0;7;18;6;10.25;0;0;7;14;4;11.25;0;12.7;3.7;-1.7;Dropout
1626;1;39;1;9991;0;1;110;1;37;37;7;10;150;0;0;0;0;0;0;48;;0;5;5;1;10;0;0;5;5;0;0;0;15.5;2.8;-4.06;Dropout
1629;1;1;1;9670;1;1;141;1;19;3;4;0;137.9;1;0;0;0;1;0;20;;0;5;6;3;12;0;0;5;5;4;12.75;0;7.6;2.6;0.32;Dropout
1632;2;39;1;9773;1;19;133.1;1;19;19;9;4;131;0;0;1;0;1;0;42;;0;4;5;0;0;0;0;4;4;0;0;0;13.9;-0.3;0.79;Dropout
1669;1;44;1;9070;1;39;100;1;1;38;4;6;104.8;0;0;1;0;0;0;22;;2;7;9;5;11.6;0;5;9;9;5;10;0;12.4;0.5;1.79;Dropout
1673;1;44;1;9130;1;39;130;1;3;1;4;1;130;1;0;0;0;0;0;21;;1;6;12;5;13.28571429;0;0;6;10;4;12;0;16.2;0.3;-0.92;Dropout
1676;1;17;3;9254;1;1;122;1;1;1;4;4;126.6;0;0;0;0;0;0;18;;0;5;5;5;10.4;0;0;6;13;0;0;0;10.8;1.4;1.74;Dropout
1688;1;7;1;9556;1;3;140;1;3;3;2;2;140;0;0;1;0;1;0;38;;0;7;8;3;12.66666667;0;0;5;5;0;0;0;13.9;-0.3;0.79;Dropout
1692;1;18;3;9070;1;1;142;1;1;37;4;7;130.8;1;0;0;0;1;0;19;;0;6;0;0;0;0;0;6;0;0;0;0;12.7;3.7;-1.7;Dropout
1714;1;44;1;9085;1;39;140;1;1;3;9;4;140;0;0;1;0;0;0;24;;2;6;11;4;12.5;0;1;6;18;2;11.5;0;12.4;0.5;1.79;Enrolled
1729;1;17;1;9254;1;1;131;1;38;37;4;9;131.7;1;0;0;0;0;0;18;;0;6;0;0;0;0;0;6;0;0;0;0;12.7;3.7;-1.7;Dropout
1732;1;1;1;9130;1;1;136;1;19;19;90;8;133.9;1;0;0;0;1;0;20;;0;5;7;4;13;0;0;5;11;3;12;2;10.8;1.4;1.74;Dropout
1735;1;1;1;9147;1;1;118;1;1;1;9;9;111;0;0;0;0;1;0;21;;0;5;7;2;11;0;0;5;9;3;11.42857143;0;10.8;1.4;1.74;Dropout
1740;2;39;1;9070;1;19;133.1;1;37;37;9;10;126.3;0;0;0;0;1;0;38;;0;6;6;0;0;0;0;6;8;0;0;0;10.8;1.4;1.74;Dropout
1744;1;43;1;9773;1;1;127;1;1;1;9;6;110;0;0;1;0;1;0;19;;0;6;10;3;11.66666667;0;0;6;11;2;10;0;16.2;0.3;-0.92;Dropout
1745;1;39;1;9670;1;1;133.1;1;37;37;90;90;97.4;0;0;1;0;1;0;44;;0;6;9;1;14;0;0;6;6;0;0;0;12.7;3.7;-1.7;Dropout
1747;1;43;1;9130;1;1;156;1;19;1;9;4;156;0;0;1;0;1;0;24;;0;6;11;5;11.83333333;0;0;6;11;4;11.5;0;15.5;2.8;-4.06;Dropout
1748;1;39;1;9003;1;1;130;1;19;1;9;6;126.1;1;0;0;0;1;0;27;;0;6;6;0;0;0;0;6;8;0;0;0;15.5;2.8;-4.06;Dropout
1749;1;39;1;9003;1;1;110;1;1;1;9;4;120;0;0;1;0;1;0;27;;0;6;0;0;0;0;0;6;0;0;0;0;13.9;-0.3;0.79;Dropout
1755;1;17;5;9119;1;1;123;1;3;1;2;9;116;1;0;1;0;1;0;20;;0;5;5;0;0;0;0;5;5;0;0;0;8.9;1.4;3.51;Dropout
1756;1;1;1;9119;1;1;150;1;1;1;3;3;143.4;0;0;0;0;1;1;18;;0;5;5;5;14.2;0;0;5;5;5;14.2;0;8.9;1.4;3.51;Enrolled
1758;1;44;1;9130;1;39;150;1;1;37;4;8;150;1;0;0;0;0;0;22;;1;6;10;3;12.66666667;0;0;6;7;0;0;0;15.5;2.8;-4.06;Dropout
1768;1;44;1;9254;1;39;170;1;19;2;9;3;170;0;0;0;0;1;0;26;;2;8;14;8;15.125;0;1;6;12;6;13.66666667;0;11.1;0.6;2.02;Enrolled
1776;1;1;3;9773;1;1;149;1;1;3;0;0;148.7;0;0;0;0;1;0;20;;0;4;4;0;0;0;0;4;8;0;0;0;10.8;1.4;1.74;Dropout
1799;1;39;1;9003;1;19;133.1;1;37;38;4;9;110;0;0;1;0;0;0;40;;0;6;12;5;12.8;0;0;6;16;3;13.33333333;0;11.1;0.6;2.02;Dropout
1805;1;51;1;9147;1;19;133.1;1;19;19;9;5;112.1;0;0;1;0;1;0;38;;0;5;5;0;0;0;0;5;5;0;0;0;8.9;1.4;3.51;Dropout
1809;1;1;5;9119;1;1;131;1;1;19;4;7;126.8;0;0;0;0;1;1;18;;0;5;6;5;12.2;0;0;5;8;4;12;0;8.9;1.4;3.51;Enrolled
1819;1;17;4;9773;1;1;127;1;2;37;9;9;115.8;1;0;1;0;0;0;19;;0;6;6;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
1821;1;43;1;9085;1;1;130;1;19;38;4;9;130;1;0;0;0;0;0;19;;0;6;12;5;13;0;0;6;12;3;11.66666667;0;13.9;-0.3;0.79;Enrolled
1829;1;7;1;9500;1;3;120;1;37;37;4;5;120;0;0;1;0;0;0;28;;0;7;7;0;0;7;0;7;7;0;0;7;13.9;-0.3;0.79;Dropout
1834;1;1;1;9147;1;1;133.1;1;19;19;9;9;119;1;0;0;0;0;1;19;;0;5;7;3;10.66666667;0;0;5;10;3;12.28571429;0;10.8;1.4;1.74;Dropout
1851;1;7;1;9500;1;3;120;1;1;1;7;10;120;1;0;0;0;1;0;23;;0;7;0;0;0;0;0;8;0;0;0;0;12.7;3.7;-1.7;Dropout
1855;1;39;1;9085;1;1;140;1;37;37;90;90;106.3;0;0;1;0;1;0;35;;0;5;7;2;11.5;0;0;5;8;2;10.5;0;7.6;2.6;0.32;Dropout
1856;4;39;2;9670;1;19;133.1;1;19;1;90;90;103;0;0;0;0;1;0;34;;0;6;6;0;0;0;0;6;9;0;0;0;10.8;1.4;1.74;Dropout
1857;1;1;1;9070;1;1;136;1;3;3;9;9;136;1;0;1;0;0;1;19;;0;6;6;6;11.83333333;0;0;6;8;6;12.875;0;10.8;1.4;1.74;Graduate
1863;1;1;1;9254;1;1;121;1;1;1;5;4;111.9;1;0;0;0;1;0;20;;0;6;14;2;10.5;0;0;6;16;0;0;0;10.8;1.4;1.74;Dropout
1867;1;39;2;9147;1;1;130;1;19;19;5;9;121.5;0;0;0;0;1;0;26;;0;5;5;2;10.5;0;0;5;9;0;0;0;10.8;1.4;1.74;Dropout
1868;1;39;1;9991;0;1;100;1;37;37;9;6;153.5;0;0;1;0;1;0;31;;0;5;9;0;0;0;0;5;6;0;0;0;12.4;0.5;1.79;Dropout
1871;1;17;1;9670;1;1;133.1;1;34;3;7;2;130.6;1;0;1;0;1;0;23;;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
1879;1;1;2;171;1;1;127;1;2;19;5;5;139.6;1;0;1;0;1;1;18;;0;0;0;0;0;0;0;0;0;0;0;0;13.9;-0.3;0.79;Dropout
1887;1;44;1;9003;1;39;160;1;37;37;9;7;160;1;0;0;0;1;0;30;;4;9;18;6;11.83333333;0;1;8;21;4;11;0;15.5;2.8;-4.06;Dropout
1888;2;43;1;9773;1;1;160;1;37;37;5;0;160;0;0;1;0;1;0;51;;0;4;4;0;0;0;0;4;4;0;0;0;12.7;3.7;-1.7;Dropout
1898;1;1;1;9773;1;1;121;1;3;3;2;2;112.3;1;0;1;0;0;0;18;;0;6;7;5;12.2;0;0;6;11;4;11.5;0;11.1;0.6;2.02;Dropout
2201;1;39;1;8014;0;1;140;1;37;37;9;7;122;1;0;1;0;1;0;29;;0;6;11;4;12.5;0;0;6;7;0;0;0;12.4;0.5;1.79;Dropout
2207;1;1;5;9147;1;1;132;1;39;39;3;3;127.8;1;0;0;0;1;0;18;;0;5;0;0;0;0;0;5;0;0;0;0;11.1;0.6;2.02;Dropout
2210;1;1;5;9773;1;1;131;1;1;38;9;5;132.4;1;0;1;0;1;0;18;;0;6;6;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
2224;1;17;1;171;1;1;129;1;38;37;4;6;128;0;0;0;0;1;0;20;;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Dropout
2238;1;39;1;9254;1;19;133.1;1;38;37;4;5;102.5;0;0;1;0;1;0;24;;0;6;7;0;0;0;0;6;7;0;0;0;16.2;0.3;-0.92;Dropout
2240;1;39;1;9085;1;12;133.1;1;38;19;9;8;138.3;1;0;1;0;1;0;25;;0;6;6;0;0;0;0;6;6;0;0;0;8.9;1.4;3.51;Enrolled
2249;1;44;1;9119;1;1;130;1;37;12;9;8;129.4;1;0;1;0;1;0;23;;0;5;6;0;0;0;0;5;7;0;0;0;13.9;-0.3;0.79;Dropout
2254;1;39;1;9119;1;12;133.1;1;34;34;0;0;95.1;0;0;0;0;1;0;49;;0;5;5;0;0;0;0;5;6;0;0;0;10.8;1.4;1.74;Dropout
2255;1;39;1;9991;0;1;120;1;19;37;5;5;128.2;0;0;0;0;1;0;31;;0;5;5;2;11;0;0;5;0;0;0;0;12.7;3.7;-1.7;Dropout
2257;1;7;1;33;1;40;120;1;38;37;5;6;120;1;0;1;0;1;0;25;;18;21;26;21;12.36363636;0;12;16;21;12;12.25;1;11.1;0.6;2.02;Dropout
2264;1;39;1;9003;1;1;130;1;38;38;9;9;150;0;0;1;0;1;0;28;;5;11;14;11;15.09090909;0;5;10;11;10;15;0;11.1;0.6;2.02;Dropout
2266;1;18;1;9085;1;1;106;1;1;19;3;5;104.6;0;0;0;0;1;0;21;;0;6;10;5;14;0;0;6;11;4;14.8;0;11.1;0.6;2.02;Enrolled
2271;2;7;1;9991;0;3;140;1;34;34;99;99;140;1;0;0;0;1;0;33;;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
2276;1;1;2;9991;0;1;123;1;1;3;4;2;113.2;0;0;0;0;1;0;22;;0;5;7;3;11.66666667;0;0;5;8;2;10.5;2;7.6;2.6;0.32;Dropout
2283;1;1;1;9254;1;1;133.1;1;38;1;9;9;121;0;0;1;0;1;0;21;;0;6;9;5;11.83333333;0;0;6;8;5;10;0;8.9;1.4;3.51;Dropout
2286;2;42;1;9147;1;1;133.1;1;37;37;9;9;115.8;0;0;0;0;1;0;49;;0;5;5;0;0;0;0;5;9;0;0;0;10.8;1.4;1.74;Dropout
2295;1;17;1;171;1;1;132;1;1;37;4;9;127.1;0;0;0;0;1;0;21;;0;0;0;0;0;0;0;0;0;0;0;0;7.6;2.6;0.32;Dropout
2300;1;39;1;9254;1;39;137;1;1;1;5;10;124.5;0;0;0;0;1;0;26;;0;6;0;0;0;0;0;6;0;0;0;0;16.2;0.3;-0.92;Dropout
2307;1;7;1;9130;1;3;140;1;2;38;2;3;140;1;0;0;0;1;0;18;;2;5;7;2;13;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
2317;1;39;1;9119;1;19;133.1;1;1;1;4;3;134.4;0;0;1;0;1;0;31;;0;5;9;2;13.33333333;0;0;5;9;2;16;4;16.2;0.3;-0.92;Dropout
2328;2;39;1;9991;0;1;110;1;37;37;1;4;120;1;0;0;0;1;0;40;;0;5;10;2;10.5;0;0;5;5;3;10.66666667;0;9.4;-0.8;-3.12;Dropout
2330;2;39;1;9070;1;12;110;1;37;38;5;10;130;0;0;1;0;1;1;46;;0;6;6;0;0;0;0;6;6;0;0;0;15.5;2.8;-4.06;Dropout
2341;1;39;1;9003;1;1;111;1;37;37;9;10;95.8;1;0;0;0;1;0;43;;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
2369;1;1;1;9773;1;1;140;1;3;2;4;6;133.4;1;0;0;0;1;0;29;;0;6;8;6;16.5;0;0;6;6;5;13.8;0;11.1;0.6;2.02;Enrolled
2376;1;1;1;9670;1;1;95;1;37;37;5;8;95;0;0;0;0;1;0;21;;0;6;9;4;13.25;0;0;6;6;5;11;0;12.7;3.7;-1.7;Dropout
2378;1;39;1;9147;1;1;120;1;37;37;9;9;110;0;0;0;0;1;0;32;;0;5;9;0;0;1;0;5;5;0;0;0;9.4;-0.8;-3.12;Dropout
2379;1;43;1;9991;0;1;136;1;3;4;2;2;133.9;0;0;0;0;1;0;26;;8;12;12;8;11.25;0;3;8;8;3;11.33333333;0;7.6;2.6;0.32;Dropout
2388;1;1;1;171;1;1;135;1;1;38;5;7;137.5;1;0;1;0;1;0;19;;0;0;0;0;0;0;0;0;0;0;0;0;12.7;3.7;-1.7;Graduate
2391;2;39;1;9003;1;1;130;1;1;37;9;1;122;0;0;1;0;1;0;25;;3;10;23;6;11.42857143;0;2;7;15;4;12;1;15.5;2.8;-4.06;Dropout
2403;1;1;1;9147;1;1;124;1;19;19;9;3;115.6;1;0;0;0;1;0;20;;0;5;9;3;12;1;0;5;7;3;11;0;9.4;-0.8;-3.12;Dropout
2405;1;1;1;9500;1;1;142;1;1;38;9;9;127;0;0;1;0;1;0;21;;0;7;12;4;12.94;0;0;7;12;4;11.58;0;12.4;0.5;1.79;Dropout
2406;2;39;1;8014;0;1;150;1;37;37;9;9;140;0;0;0;0;1;0;35;;0;6;6;6;14;0;0;6;6;6;14.16666667;0;9.4;-0.8;-3.12;Graduate
2408;4;39;1;9500;1;19;110;1;37;38;5;5;151;0;0;1;0;1;0;47;;0;7;7;0;0;7;0;8;8;0;0;8;15.5;2.8;-4.06;Dropout
2412;2;39;1;8014;0;1;133.1;1;34;34;90;90;116;0;0;0;0;0;0;51;;0;6;13;4;11.25;0;0;6;12;0;0;1;10.8;1.4;1.74;Dropout
2419;1;53;1;171;1;42;130;1;1;19;9;9;130;1;0;0;0;1;1;22;;5;12;15;11;12.54545455;0;4;11;16;11;12.66666667;0;8.9;1.4;3.51;Graduate
2426;1;39;2;9147;1;38;133.1;1;19;38;9;9;102.5;0;0;0;0;1;0;26;;0;4;4;0;0;0;0;5;0;0;0;0;12.7;3.7;-1.7;Dropout
2427;1;39;2;9991;0;1;133.1;1;19;38;9;9;102.5;0;0;0;0;1;0;27;;0;5;10;0;0;0;0;5;5;0;0;0;15.5;2.8;-4.06;Dropout
2439;1;7;1;9003;1;3;130;1;1;38;9;7;130;1;0;0;0;1;0;32;;11;17;31;11;12.72727273;4;10;12;24;10;12.7;1;15.5;2.8;-4.06;Dropout
2441;1;18;3;9147;1;1;133.1;1;1;38;4;7;101;1;0;0;0;1;0;23;;0;5;0;0;0;0;0;5;0;0;0;0;8.9;1.4;3.51;Dropout
2449;1;39;1;9119;1;19;120;1;37;37;9;4;98.6;0;0;1;0;1;0;28;;0;5;10;0;0;0;0;5;7;0;0;0;12.4;0.5;1.79;Dropout
2451;1;1;1;171;1;1;130;1;1;38;5;9;118.1;0;0;1;0;1;0;18;;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Enrolled
2452;1;39;1;9003;1;1;100;1;1;3;9;10;120;0;0;1;0;1;0;44;;2;7;14;4;12;2;0;6;16;0;0;1;15.5;2.8;-4.06;Dropout
2465;2;39;1;9991;0;1;121;1;37;19;9;9;141.4;0;0;1;0;1;0;29;;0;5;7;4;11.25;0;0;5;8;4;11.8;0;10.8;1.4;1.74;Dropout
2472;2;39;1;9085;1;19;110;1;37;37;90;90;110;0;0;0;0;1;0;29;;0;5;5;0;0;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
2474;1;39;1;9003;1;1;133.1;1;1;1;1;6;120;0;0;0;0;1;0;24;;0;6;0;0;0;0;0;6;0;0;0;0;13.9;-0.3;0.79;Dropout
2476;2;39;1;8014;0;19;133.1;1;19;37;9;9;151.5;0;0;1;0;1;0;45;;0;6;7;0;0;0;0;5;5;0;0;0;16.2;0.3;-0.92;Dropout
2486;2;39;1;9003;1;1;133.1;1;37;37;9;9;100;0;0;0;0;1;0;44;;4;10;10;4;11.5;0;1;7;8;1;12;0;15.5;2.8;-4.06;Dropout
2493;1;51;1;8014;0;1;120;1;1;1;4;4;128.5;0;0;1;0;1;0;26;;2;8;13;4;10.5;0;5;10;16;7;10.42857143;0;12.4;0.5;1.79;Dropout
1529;1;15;1;9254;1;1;140;26;19;1;9;7;140;1;0;0;0;0;0;21;1;0;6;6;6;11.5;0;0;6;10;4;13.25;0;13.9;-0.3;0.79;Graduate
1530;1;10;1;9500;1;1;140;24;3;3;2;9;140;1;0;1;0;0;0;23;1;0;8;11;7;11.32857143;0;0;8;11;7;11.32857143;0;12.7;3.7;-1.7;Dropout
1713;1;42;1;9500;1;1;133.1;41;3;1;3;10;100;1;0;0;0;0;0;33;1;1;7;10;5;12.16;0;0;6;7;5;11.34;0;12.4;0.5;1.79;Dropout
1767;1;39;1;9003;1;1;140;41;1;1;9;9;100;0;0;1;0;0;0;29;1;3;9;9;3;14.33333333;0;1;7;8;1;14;0;15.5;2.8;-4.06;Dropout
1800;1;17;3;9254;1;1;114;26;38;3;9;3;127.3;1;0;1;0;0;0;20;1;0;6;14;3;12.33333333;0;0;6;16;0;0;0;10.8;1.4;1.74;Dropout
1858;1;15;1;9238;1;1;150;26;19;1;9;9;146.5;1;0;1;0;1;0;22;1;0;6;10;5;11.5;0;0;6;8;5;12.4;0;13.9;-0.3;0.79;Graduate
200;1;39;1;9500;1;1;120;1;1;3;175;121;105.9;0;0;0;;0;0;35;;0;3;4;3;11.81666667;0;0;3;3;3;11.33333333;0;11.1;0.6;2.02;Enrolled
201;1;1;1;9085;1;1;138;1;1;1;4;7;132.1;1;0;0;;0;0;19;;0;5;9;4;13.75;0;0;5;13;4;14.33333333;2;10.8;1.4;1.74;Graduate
202;1;1;4;9238;1;1;127;1;19;19;4;0;127.4;1;0;0;;0;0;20;;0;6;8;6;11.16666667;0;0;6;6;6;11.33333333;0;7.6;2.6;0.32;Graduate
203;1;1;4;9500;1;1;140;1;19;19;7;7;129.5;1;0;0;;0;0;18;;0;8;8;7;12.32428571;0;0;8;8;7;12.32428571;0;10.8;1.4;1.74;Graduate
204;1;44;1;9238;1;39;130;1;38;38;5;10;126.7;0;0;1;;0;0;21;;3;6;6;6;12.16666667;0;2;6;7;6;11.71428571;0;13.9;-0.3;0.79;Graduate
205;1;17;2;9238;1;1;128;1;19;37;9;8;116.5;0;0;0;;0;1;18;;0;6;11;5;11.14285714;0;0;6;11;4;11.25;0;16.2;0.3;-0.92;Graduate
206;1;1;1;9238;1;1;132;1;34;34;0;0;119.1;1;0;0;;0;0;18;;0;6;9;4;11;0;0;6;9;4;10.75;0;7.6;2.6;0.32;Graduate
207;1;1;2;9500;1;1;149;1;19;38;9;9;126.5;1;0;0;;0;0;18;;0;8;8;7;12.91428571;0;0;8;8;7;12.91428571;0;12.7;3.7;-1.7;Graduate
208;1;1;4;9773;1;1;155;1;3;19;1;4;149.8;1;0;0;;0;1;18;;0;6;6;6;13.83333333;0;0;6;6;6;14.16666667;0;16.2;0.3;-0.92;Graduate
209;1;1;1;9085;1;1;120;1;19;1;8;7;115.1;1;0;0;;0;0;19;;0;6;8;6;13.85714286;0;0;6;9;5;13.4;0;13.9;-0.3;0.79;Graduate
210;1;39;1;9254;1;19;133.1;1;3;19;2;3;124.5;0;0;0;;0;1;36;;0;6;7;6;13.71428571;0;0;6;6;5;12.8;0;16.2;0.3;-0.92;Dropout
