ID;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Previous qualification (grade);Nationality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International
2849;2;42;1;9147;1;1;100;1;37;37;9;9;100;1;0;0;1;0;0;54;0
2877;1;39;1;9556;Y;1;133.1;6;3;3;4;4;169.2;0;0;1;0;0;0;54;1
2885;1;7;1;9003;1;3;120;1;37;37;6;6;120;0;0;0;1;0;0;54;0
3810;2;39;1;8014;0;1;120;1;34;34;0;0;104;0;0;0;1;0;0;54;0
718;4;39;1;9670;1;1;140;1;2;1;3;9;170;0;0;1;0;1;0;53;0
888;1;43;2;9238;1;1;110;1;37;37;9;7;112.5;1;0;0;1;0;1;53;0
2848;2;39;1;9773;1;19;133.1;1;37;37;9;6;110;0;0;0;0;0;0;53;0
2876;1;51;1;9147;1;1;160;1;1;37;9;10;118;0;0;0;1;0;0;53;0
3809;4;27;1;9070;Y;2;130;1;34;34;0;0;130;0;0;0;1;0;0;53;0
745;1;39;1;9773;1;12;120;1;1;1;9;9;129.8;1;0;0;1;1;0;52;0
726;4;7;1;9500;1;3;140;1;37;38;9;7;140;0;0;0;1;1;0;51;0
2034;2;39;2;9991;0;1;100;1;37;37;9;9;100;1;0;0;1;1;0;51;0
2935;2;39;1;8014;0;12;133.1;1;34;34;0;0;135;0;0;0;1;0;0;51;0
2970;1;39;1;9670;1;1;130;1;19;3;4;2;159;0;0;0;1;0;1;51;0
3070;1;39;1;9085;1;12;133.1;1;37;37;10;9;144;0;0;0;1;1;0;51;0
6;2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0
517;2;39;1;9003;1;1;120;1;37;19;9;4;148.8;0;0;0;1;0;0;50;0
679;2;39;1;9773;1;19;100;1;37;37;0;0;163.5;0;0;1;0;1;0;50;0
710;1;39;1;8014;0;1;133.1;1;37;11;9;7;96;0;0;1;0;1;0;50;0
2649;1;43;1;8014;0;12;133.1;1;37;1;9;10;112.5;0;0;0;1;1;0;50;0
2838;2;39;2;9147;1;1;140;1;37;37;9;8;108;0;0;0;1;0;0;50;0
2845;2;39;1;9991;0;1;120;1;37;37;9;9;119.9;0;0;0;1;0;0;50;0
2863;2;39;1;8014;0;1;140;1;37;37;9;9;121;0;0;0;1;0;0;50;0
2867;2;39;1;8014;0;19;133.1;1;3;19;90;90;123.5;0;0;0;1;0;0;50;0
2875;2;39;1;9991;0;12;133.1;1;37;34;90;90;110.7;1;0;0;1;0;0;50;0
3272;2;39;1;8014;0;1;133.1;1;38;38;9;9;113.5;0;0;0;1;0;1;50;0
3473;4;39;1;8014;0;19;133.1;1;37;37;9;9;95;0;0;1;0;0;0;50;0
685;4;39;1;9003;Y;19;133.1;1;37;37;9;9;110;0;0;0;1;1;0;49;0
702;2;39;1;9147;1;19;133.1;1;37;19;9;3;128;0;0;0;1;1;0;49;0
969;2;39;1;9991;0;1;135;1;34;34;0;0;134.1;1;0;0;0;1;0;49;0
2035;2;39;1;9773;1;19;133.1;1;37;37;6;6;162;0;0;1;1;1;1;49;0
2668;2;39;1;9991;0;19;133.1;1;19;19;4;4;150;0;0;0;0;1;0;49;0
2878;1;39;1;8014;0;1;120;1;37;37;9;7;106.8;0;0;0;1;0;0;49;0
3498;2;43;1;9991;0;1;114;1;37;37;7;8;116.7;0;0;0;1;1;0;49;0
3527;2;39;1;9003;1;1;111;1;1;3;4;2;162.4;0;0;1;0;1;0;49;0
519;4;39;1;8014;0;19;133.1;1;34;34;0;0;100;0;0;0;1;0;0;48;0
691;4;39;1;9130;1;19;133.1;1;37;38;9;4;100.9;0;0;0;1;1;0;48;0
975;2;39;1;9991;0;1;170;1;37;19;9;3;151.1;0;0;0;1;1;0;48;0
2753;2;39;1;8014;0;19;133.1;1;19;37;6;8;149.5;0;0;0;1;1;0;48;0
2860;4;43;1;8014;0;12;133.1;1;34;34;0;0;106;1;0;0;1;0;0;48;0
2916;6;39;1;8014;0;1;133.1;1;37;37;9;9;119;0;0;0;1;0;1;48;0
2923;2;39;1;9238;1;19;133.1;1;37;37;4;4;98.5;0;0;0;1;0;0;48;0
4261;1;39;1;9003;1;1;123;1;37;37;9;9;110;0;0;1;0;0;0;48;0
167;3;39;1;9003;1;1;170;1;1;37;6;6;170;0;0;1;1;0;0;47;0
705;1;39;1;9238;1;12;100;1;37;37;9;9;124.3;0;0;0;1;1;0;47;0
709;2;39;1;9254;1;1;120;1;1;19;9;9;148.3;0;0;0;1;1;0;47;0
832;1;39;1;9238;Y;9;133.1;1;34;34;0;0;118;0;0;0;1;0;0;47;0
2750;2;39;1;9991;0;1;150;1;37;37;9;7;122.5;0;0;0;1;1;0;47;0
2870;2;39;1;9991;0;19;133.1;1;37;37;9;9;150.3;0;0;0;1;0;0;47;0
2881;4;39;1;8014;0;19;133.1;1;37;37;9;7;134.5;0;0;0;1;0;1;47;0
2915;6;39;2;9147;1;1;133.1;1;37;37;9;9;110;0;0;0;1;0;0;47;0
3667;2;42;1;9070;1;1;170;1;37;25;0;4;148.5;0;0;0;1;1;0;47;0
3851;1;43;1;9991;0;1;120;1;37;19;9;9;107;0;0;0;0;1;0;47;0
4409;2;39;1;9773;1;1;100;1;37;37;9;9;133;0;0;0;1;1;0;47;0
686;2;43;1;9991;0;1;100;1;37;37;9;9;128.2;0;0;0;1;1;0;46;0
760;2;43;2;9147;1;1;133.1;1;37;37;9;9;109;1;0;0;1;0;0;46;0
835;2;39;1;9119;1;1;110;1;37;37;90;5;150;1;0;0;1;1;0;46;0
2502;2;39;1;8014;0;12;133.1;1;37;37;9;1;113;0;0;0;1;0;0;46;0
2683;1;7;1;9991;0;3;120;1;37;37;6;7;120;0;0;1;0;1;0;46;0
2837;2;39;1;9991;0;1;110;1;34;34;0;0;114.6;1;0;0;1;0;0;46;0
2842;2;39;1;9003;1;1;140;1;37;37;9;6;104.8;0;0;0;1;0;0;46;0
2988;2;39;1;8014;0;19;100;1;34;34;0;0;100;0;0;0;1;0;0;46;0
4416;4;39;1;9500;1;19;133.1;1;37;37;6;6;117.8;0;0;1;0;0;0;46;0
5;2;39;1;8014;0;1;100;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0
697;2;1;1;8014;0;1;165;1;37;37;0;0;162.9;1;0;0;1;1;0;45;0
711;2;39;1;9991;0;19;133.1;1;38;38;90;90;121.7;1;0;0;1;1;0;45;0
712;1;39;1;9119;1;1;100;1;37;37;9;8;160;0;0;1;0;1;0;45;0
952;2;39;1;9991;0;1;133.1;1;37;37;9;9;132.8;0;0;1;0;1;0;45;0
1187;2;7;1;9500;1;3;120;1;37;19;9;7;120;1;0;0;1;0;0;45;0
2032;4;39;1;9254;1;1;140;1;38;37;9;9;112;0;0;1;1;0;0;45;0
2665;2;39;1;9991;0;1;120;1;37;3;9;3;168.2;0;0;0;1;1;0;45;0
2762;1;43;1;8014;0;1;120;1;37;37;9;5;100;0;0;0;1;0;0;45;0
2880;4;39;1;8014;0;1;133.1;1;38;37;5;7;144.5;0;0;0;1;0;0;45;0
2894;2;43;1;8014;0;1;130;1;34;34;0;0;130;0;0;0;1;0;0;45;0
2946;2;39;1;9853;1;1;133.1;1;37;19;9;5;138.3;0;0;0;1;0;0;45;0
2959;2;39;1;9853;1;19;133.1;1;37;19;3;7;100;0;0;0;1;0;0;45;0
3271;2;1;1;9254;1;1;136;1;37;37;9;9;122.7;0;0;0;1;0;1;45;0
3502;1;39;1;9070;1;1;140;1;37;37;9;10;118;0;0;1;1;1;1;45;0
3534;2;39;1;9254;1;19;133.1;1;34;34;0;0;120;0;0;1;0;1;0;45;0
4229;2;39;1;8014;0;1;133.1;1;37;37;5;4;134.5;0;0;0;1;0;0;45;0
95;2;39;1;8014;0;1;133.1;1;37;19;9;9;114;0;0;0;1;0;0;44;0
684;4;39;1;9238;1;19;133.1;1;37;37;9;10;103.5;0;0;0;0;0;0;44;0
695;2;39;1;9130;1;19;133.1;1;2;1;2;9;157;1;0;0;1;1;0;44;0
716;1;43;1;8014;0;1;161;1;19;37;4;10;100;0;0;0;1;1;0;444;0
2007;2;39;1;8014;0;1;146;1;37;37;9;8;120.5;0;0;0;1;0;0;44;0
2012;2;39;1;9991;0;1;110;1;37;37;9;4;160;0;0;0;1;0;0;44;0
2891;2;39;1;8014;0;12;110;1;34;34;0;0;157.8;0;0;0;1;0;0;444;0
3275;1;39;1;9003;1;19;133.1;1;37;37;9;9;130;0;0;0;1;0;0;44;0
3812;1;39;1;8014;0;1;133.1;1;37;37;9;8;121;0;0;1;0;0;0;44;0
4148;4;39;1;9085;1;1;140;1;37;37;9;9;154.6;0;0;0;0;0;1;44;0
37;1;39;1;9119;1;10;133.1;1;34;37;0;0;128.8;1;0;0;1;1;0;43;0
104;4;39;1;9003;1;12;133.1;1;37;37;9;6;160;0;0;0;1;0;0;43;0
689;3;39;1;9991;0;1;120;1;37;1;9;2;170;0;0;0;1;1;0;43;0
703;1;7;1;9556;1;4;190;1;5;5;2;2;190;1;0;0;1;1;0;43;0
715;2;39;1;9085;1;1;120;1;37;37;6;6;150;0;0;0;1;1;0;43;0
919;2;44;1;9003;1;39;160;1;37;38;9;4;160;0;0;0;1;0;0;43;0
1210;2;39;1;9003;1;1;120;1;37;37;9;9;125.7;0;0;1;0;0;0;43;0
2654;2;39;2;9147;1;1;133.1;1;37;37;5;7;110;0;0;0;1;1;0;43;0
2666;2;39;1;9773;1;1;110;1;37;37;9;10;140;0;0;1;0;1;0;43;0
2669;2;39;1;9500;1;19;133.1;1;37;38;9;7;100.5;1;0;0;1;1;0;43;0
2672;2;39;1;9991;0;1;120;1;38;38;1;4;138.7;0;0;0;1;1;0;43;0
2677;2;42;1;9556;1;1;110;1;37;37;9;6;140;0;0;0;1;1;0;43;0
2866;4;39;1;9147;1;1;140;1;37;37;9;9;142.8;0;0;0;1;0;0;43;0
2884;2;39;1;8014;0;1;140;1;37;37;9;9;128;0;0;0;1;0;1;43;0
2941;4;39;1;8014;0;3;100;1;37;37;9;9;130;0;0;0;1;0;1;43;0
3497;2;39;1;9991;0;1;133.1;1;37;37;5;8;133.2;0;0;0;0;1;0;43;0
3666;1;39;1;9003;1;19;133.1;1;37;37;9;4;140;0;0;0;1;1;0;43;0
3949;2;39;1;9670;1;1;150;1;37;19;9;4;135.6;0;0;0;1;0;1;43;0
4018;4;39;1;8014;0;1;133.1;1;37;37;9;7;140;0;0;0;1;0;1;43;0
4030;4;7;1;9500;1;3;130;1;3;19;2;3;130;0;0;0;1;0;0;43;0
914;4;39;1;8014;0;1;130;1;37;37;9;7;138;0;0;0;1;0;0;42;0
2145;2;39;1;8014;0;12;110;1;37;37;7;9;120;0;0;0;1;0;0;42;0
2749;2;39;1;9991;0;1;110;1;37;37;9;9;130;0;0;0;0;1;0;42;0
3729;1;51;1;8014;0;2;110;1;19;38;9;10;110;0;0;0;1;1;0;42;0
3860;1;43;1;9991;0;1;133.1;1;37;19;3;10;136.1;0;0;0;1;1;1;42;0
3909;2;39;1;9238;1;1;126.6;1;38;38;9;7;107.5;0;0;1;1;0;1;42;0
3999;4;7;1;9500;1;40;130;1;19;19;4;6;130;0;0;0;0;0;0;42;0
4389;2;43;1;9147;1;2;120;1;37;37;9;9;122.8;0;0;1;0;0;0;42;0
687;1;39;1;9085;1;39;120;1;37;37;1;9;137.7;1;0;0;0;1;0;41;0
692;2;43;1;9003;1;1;133.1;1;37;37;9;7;136;0;0;0;1;1;0;41;0
707;2;39;1;8014;0;1;133.1;1;19;1;4;8;144.3;0;0;0;1;1;0;41;0
725;1;7;3;9130;1;3;130;1;37;26;90;10;130;0;0;0;0;1;0;41;0
763;2;43;3;8014;0;19;100;1;37;37;9;9;120;1;0;0;1;1;0;41;0
920;6;39;1;8014;0;1;133.1;1;37;1;9;7;114.8;0;0;0;1;0;1;41;0
982;2;39;1;9991;0;1;100;1;19;19;4;4;113;0;0;0;1;1;1;41;0
1161;1;39;1;9991;0;19;133.1;1;37;37;9;9;117.2;0;0;0;1;0;0;41;0
2569;1;39;1;9147;1;12;133.1;1;37;37;9;7;139.4;0;0;1;1;0;0;41;0
2712;1;43;1;8014;0;1;113;1;37;37;0;6;128.2;0;0;0;0;0;0;41;0
2864;1;43;1;9853;1;1;140;1;37;37;6;6;125.2;0;0;1;1;0;0;41;0
2869;2;39;1;9147;1;1;110;1;37;37;9;10;140;0;0;0;1;0;0;41;0
2872;2;39;1;9500;1;1;110;1;37;37;9;6;114.3;0;0;0;1;0;0;41;0
2907;4;39;2;8014;0;1;160;1;37;38;7;5;115;0;0;0;1;0;1;41;0
2940;1;39;1;8014;0;1;100;1;37;37;6;5;107.5;0;0;0;1;0;0;41;0
2969;1;39;2;8014;0;1;100;1;35;37;90;90;100;0;0;0;1;0;0;41;0
2976;5;43;1;9991;0;3;130;1;3;3;1;1;130;0;0;0;1;0;0;41;0
3273;4;42;1;9147;1;1;110;1;37;37;9;9;128.2;0;0;0;1;0;0;41;0
3875;1;39;1;9130;1;1;133.1;1;1;1;90;1;120;1;0;1;0;1;0;41;0
4027;1;39;1;9003;1;1;100;1;37;37;9;5;110;0;0;0;1;0;0;41;0
4138;2;39;1;9254;1;1;130;1;37;37;9;9;125;0;0;0;1;0;0;41;0
4141;4;7;1;9238;1;40;130;1;34;34;99;99;130;0;0;1;1;0;0;41;0
4250;2;43;1;9991;0;3;130;1;37;37;9;9;130;0;0;0;1;0;0;41;0
514;1;39;1;9991;0;1;100;1;37;19;9;2;121.9;0;0;0;0;0;0;40;0
764;1;15;1;9147;1;1;133.1;21;1;3;192;3;100;0;0;1;1;1;0;40;1
974;2;43;1;9853;1;1;110;1;37;37;7;7;100;0;0;0;1;1;0;40;0
1043;4;43;1;9670;1;1;150;1;37;37;9;6;110;0;0;0;1;0;0;40;0
2500;1;39;1;9238;1;19;133.1;1;37;37;9;9;120;0;1;1;1;0;0;40;0
2576;2;39;1;8014;0;1;150;1;37;37;7;5;143;0;0;0;1;0;0;40;0
2674;2;39;1;9991;0;1;160;1;34;34;99;99;114.3;0;0;0;1;1;0;40;0
2896;2;1;1;8014;0;1;151;1;37;37;9;9;152.4;0;0;0;1;0;0;40;0
2897;1;39;1;9991;0;1;120;1;37;37;6;6;147.8;0;0;0;1;0;0;40;0
3315;1;43;1;9991;0;1;100;1;3;19;1;1;117.9;0;0;0;0;1;0;40;0
3317;1;7;1;9119;1;3;120;1;19;19;1;1;120;0;0;0;0;1;0;40;0
3460;4;43;4;9991;0;12;133.1;1;37;37;9;9;153;0;0;0;0;0;0;40;0
3537;1;39;1;9991;0;1;110;1;37;37;9;9;139;0;0;0;1;1;0;40;0
3715;1;39;1;9670;1;12;133.1;1;37;1;9;3;120;0;0;1;0;1;0;40;0
3734;2;39;1;9238;1;1;120;1;37;37;7;7;134;0;0;0;1;1;1;40;0
3980;4;39;1;9773;1;38;133.1;1;19;19;7;9;133;0;0;0;1;0;0;40;0
4251;4;39;1;9500;1;19;133.1;1;37;37;5;7;100;0;0;0;0;0;0;40;0
39;4;39;1;9991;0;1;120;1;19;19;9;3;113.9;1;0;0;1;0;0;39;0
57;2;7;1;9254;1;3;130;1;1;3;4;3;130;0;0;0;1;0;0;39;0
94;2;39;1;9853;1;10;133.1;1;37;34;0;0;115.5;0;0;0;1;0;0;39;0
515;2;18;2;8014;0;1;140;1;37;37;9;10;120.4;0;0;1;0;0;0;39;0
516;2;18;2;9238;1;1;140;1;37;37;9;10;120.4;0;0;1;0;0;0;39;0
700;1;43;1;9119;1;1;140;1;37;38;5;7;146.5;0;0;0;1;1;0;39;0
924;1;39;1;9500;1;19;133.1;1;37;37;9;6;120;0;0;0;0;0;1;39;0
979;1;39;1;9991;0;19;133.1;1;19;37;7;5;155.5;1;0;1;0;1;0;39;0
1194;1;7;1;9254;1;40;130;1;1;1;3;6;130;0;0;0;1;0;0;39;0
1482;4;39;1;9773;1;19;133.1;1;37;37;9;1;117.5;0;0;0;1;0;0;39;0
2828;2;39;1;9991;0;1;140;1;37;37;9;6;130.2;0;0;0;1;0;1;39;0
2847;2;39;2;9556;1;12;133.1;1;34;34;99;99;100.5;0;0;0;1;0;0;39;0
2886;1;39;1;8014;0;2;130;1;37;37;5;7;147.5;0;0;0;1;0;0;39;0
2887;2;39;1;9991;0;1;120;1;37;37;9;9;120.7;0;0;0;1;0;0;39;0
2917;2;7;1;8014;0;3;110;1;37;37;9;9;110;0;0;0;1;0;0;39;0
2931;1;39;1;9991;0;9;133.1;1;37;34;90;90;118.1;1;0;0;1;0;0;39;0
2955;4;39;1;9238;1;1;120;1;37;37;9;9;125.5;1;0;0;1;0;1;39;0
3150;4;39;1;9670;1;1;100;1;37;37;4;10;120;0;0;1;1;0;1;39;0
3232;2;39;1;9147;1;1;130;1;37;37;9;9;142.5;0;0;0;1;0;0;39;0
3493;2;39;1;9991;0;19;133.1;1;38;38;7;8;120;0;0;0;1;1;0;39;0
3543;1;39;1;9991;0;1;100;1;37;38;9;4;140;0;0;0;1;1;0;39;0
3585;1;39;1;8014;0;1;133.1;1;3;19;4;7;119;0;0;0;1;1;0;39;0
3674;1;39;1;8014;0;19;133.1;1;19;19;144;141;131.5;0;0;1;1;0;1;39;0
3803;4;43;1;8014;0;1;140;1;38;37;9;9;126;0;0;0;1;0;1;39;0
3853;1;43;1;9003;1;1;120;1;37;37;5;9;120;1;0;0;1;1;0;39;0
3904;2;39;1;9147;1;1;140;1;38;37;4;7;130;1;0;0;0;0;0;39;0
4003;2;39;2;9254;1;19;133.1;1;19;19;9;5;123.5;0;0;0;1;1;0;39;0
4097;4;39;1;8014;0;19;133.1;1;37;37;9;9;113.5;0;0;0;1;0;1;39;0
4147;2;39;1;9500;1;19;133.1;1;37;38;9;10;120.9;1;0;0;1;0;0;39;0
4247;2;43;1;9991;0;1;150;1;38;19;3;3;120.1;0;0;0;0;0;0;39;0
913;2;39;1;9991;0;1;140;1;37;37;9;9;120;0;0;0;0;0;0;38;0
1179;4;39;1;9500;1;1;133.1;1;37;37;9;9;130;0;0;1;1;0;0;38;0
2664;1;39;1;9991;0;1;120;1;1;1;5;5;96;1;0;0;0;1;0;38;0
2755;1;7;1;9991;0;40;130;1;38;38;9;7;130;0;0;0;1;1;0;38;0
2919;1;43;1;9991;0;2;110;1;37;37;9;9;112.9;0;0;0;1;0;0;38;0
2958;2;39;1;8014;0;3;110;1;37;37;9;9;160.5;0;0;0;1;0;0;38;0
2994;2;39;1;8014;0;1;140;1;37;37;5;6;128.5;0;0;0;1;0;1;38;0
3243;1;39;1;8014;0;19;133.1;1;37;37;9;9;100;0;0;0;1;0;0;38;0
3364;1;7;1;9147;1;2;150;1;3;37;2;5;150;1;0;1;0;0;0;38;0
3462;4;43;1;9500;1;1;130;1;37;37;9;9;103.7;0;0;0;1;0;0;38;0
3485;1;39;1;9500;1;1;133.1;1;37;37;7;7;124.5;0;0;0;0;1;0;38;0
3545;1;39;1;9991;0;12;133.1;1;37;37;9;9;121.5;0;0;0;1;1;0;38;0
3567;2;43;1;9070;1;2;140;1;37;37;6;6;140;1;0;0;1;1;0;38;0
3806;2;43;1;9991;0;1;130;1;37;37;9;9;110;1;0;0;1;0;0;38;0
3924;4;39;1;8014;0;1;160;1;37;37;5;5;126;0;0;0;1;0;1;38;0
4026;4;1;1;9991;0;1;140;1;37;37;9;7;139;0;0;0;1;0;1;38;0
4035;2;39;1;8014;0;19;133.1;1;34;34;0;0;130;0;0;0;1;1;0;38;0
4095;2;7;1;9238;1;3;130;1;37;19;4;5;130;0;0;0;1;0;0;38;0
4262;2;43;1;9991;0;2;120;1;37;37;9;9;120;0;0;0;0;0;0;38;0
4308;1;39;1;171;1;1;116;1;34;34;0;0;127;1;0;0;1;1;0;38;0
4410;2;43;1;9991;0;1;140;1;37;37;4;1;122.7;0;0;0;1;1;0;38;0
36;1;39;1;33;1;1;130;1;38;37;9;6;102.5;0;0;1;0;1;0;37;0
706;5;39;1;9991;0;1;120;1;37;37;9;9;138.1;0;0;0;1;1;1;37;0
719;2;42;1;9991;0;6;123;1;37;37;9;9;123;0;0;0;1;1;0;37;0
765;2;44;1;8014;0;39;150;1;1;1;5;5;154;0;0;0;1;1;0;37;0
918;2;39;1;8014;0;9;133.1;1;37;37;8;10;100;1;0;0;1;0;0;37;0
925;4;39;1;9991;0;1;120;1;37;37;9;9;110;0;0;0;1;0;0;37;0
928;2;39;1;8014;0;1;133.1;1;37;37;6;8;100;0;0;1;1;0;0;37;0
1166;1;39;1;8014;0;40;140;1;19;37;5;9;148;0;0;0;1;0;0;37;0
1208;2;39;1;9003;1;19;133.1;1;19;37;9;10;120;0;0;1;1;0;0;37;0
2042;2;57;1;9991;0;1;133.1;41;38;37;4;6;100;0;0;0;1;0;0;37;1
2508;1;39;1;8014;0;1;120;1;38;37;9;7;108;0;0;0;1;1;1;37;0
2563;2;39;1;9500;1;19;133.1;1;38;38;2;10;120;0;0;0;1;0;0;37;0
2756;1;7;1;9238;1;40;130;1;37;37;5;5;130;0;0;0;1;1;0;37;0
2793;4;39;1;8014;0;1;133.1;1;37;37;7;7;143;0;0;0;1;1;0;37;0
2796;2;39;1;9500;1;38;133.1;1;37;37;9;3;146.6;0;0;0;1;1;0;37;0
2839;1;39;1;9991;0;1;140;1;37;37;9;5;140;0;0;0;0;0;0;37;0
2844;4;1;1;9991;0;1;130;1;37;37;9;9;118.1;0;0;1;0;0;0;37;0
2905;1;39;1;8014;0;1;133.1;1;37;37;9;7;129;0;0;0;1;0;0;37;0
3000;4;39;1;8014;0;1;138;1;19;19;90;90;127;0;0;0;0;0;0;37;0
3263;1;39;1;8014;0;1;100;1;12;5;9;4;116.5;0;0;1;0;0;0;37;0
3345;1;39;1;9085;1;1;110;1;40;1;5;6;142.5;0;0;1;0;1;0;37;0
3352;2;44;1;9003;1;39;140;1;37;37;4;7;140;0;0;0;1;1;0;37;0
3484;2;39;1;9500;1;1;133.1;1;37;37;9;9;130.1;0;0;0;0;1;0;37;0
3814;1;7;1;8014;0;43;180;1;19;19;9;4;180;0;0;0;1;0;0;37;0
3998;4;39;2;9556;1;19;133.1;1;19;19;4;6;123;0;0;0;1;0;1;37;0
4036;2;7;1;9130;1;2;110;1;19;19;4;8;110;1;0;0;1;1;0;37;0
4098;1;43;1;9991;0;3;120;1;37;37;9;9;120;0;0;0;1;0;0;37;0
4248;2;39;2;8014;0;19;100;1;37;37;4;7;100;0;0;1;1;0;0;37;0
4314;1;43;1;9853;1;1;130;1;2;39;2;5;124.6;0;0;0;1;1;0;37;0
4401;2;39;1;9991;0;1;133.1;1;37;37;6;3;140;0;0;1;1;1;0;37;0
103;2;39;1;8014;0;1;130;1;37;37;6;5;113.5;1;0;0;1;0;0;36;0
792;1;39;1;9500;1;1;120;1;3;3;2;2;149;0;0;0;0;1;0;36;0
1181;6;39;1;9500;1;1;133.1;1;37;37;9;9;110;0;0;0;1;0;0;36;0
1358;1;39;1;9254;1;19;133.1;1;19;1;9;5;97;0;0;1;0;1;0;36;0
2641;2;39;1;9119;1;19;133.1;1;37;37;9;9;100;0;0;0;1;1;0;36;0
2682;2;39;1;9500;1;19;133.1;1;38;38;7;8;170;0;0;0;1;1;0;36;0
2748;1;42;1;9003;1;1;130;1;3;2;2;6;105.3;0;0;0;0;1;0;36;0
2797;1;39;1;9500;1;1;137;1;37;37;9;9;141;0;0;0;1;1;0;36;0
2901;2;43;1;9991;0;2;120;1;37;37;9;8;120;0;0;0;1;0;0;36;0
2933;1;39;1;9991;0;1;130;1;37;37;6;6;111.9;0;0;1;1;0;0;36;0
2957;1;7;1;9500;1;3;130;1;37;37;9;5;130;0;0;0;1;0;0;36;0
3069;1;39;1;9556;1;1;140;1;37;37;9;8;105;1;0;0;1;0;1;36;0
3251;1;7;1;9556;1;2;130;1;37;37;9;9;130;1;0;0;1;0;1;36;0
3286;4;43;1;9991;0;1;140;1;37;37;5;5;149.8;0;0;0;1;1;0;36;0
3287;1;7;1;9556;1;43;160;1;38;19;9;9;160;0;0;0;1;1;0;36;0
3347;1;39;1;9500;1;1;120;1;37;37;9;8;108.5;0;0;0;1;1;0;36;0
3457;1;7;1;9238;1;3;140;1;37;37;9;9;140;1;0;0;1;0;0;36;0
3486;2;39;1;9670;1;1;130;1;19;38;9;9;162.3;0;0;0;1;1;0;36;0
3683;1;39;1;9991;0;1;110;1;37;37;9;9;121.8;0;0;0;0;1;0;36;0
