ID;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
77;0;6;8;4;10.5;0;0;6;11;1;11;0;9.4;-0.8;-3.12;Dropout
81;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout
82;0;1;1;0;0;1;0;5;0;0;0;0;10.8;1.4;1.74;Dropout
83;6;12;17;6;12.16666667;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout
91;0;7;18;0;0;0;0;7;7;0;0;0;13.9;-0.3;0.79;Dropout
93;0;6;7;2;12;1;0;6;6;0;0;0;8.9;1.4;3.51;Dropout
94;0;6;12;3;12.66666667;0;0;6;14;0;0;1;7.6;2.6;0.32;Dropot
100;0;7;10;4;11.96;0;0;7;7;0;0;0;13.9;-0.3;0.79;Dropout
101;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout
103;0;6;0;0;0;0;0;6;0;0;0;0;9.4;-0.8;-3.12;Dropout
105;0;6;0;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
107;0;6;0;0;0;0;0;6;0;0;0;0;16.2;0.3;-0.92;Dropout
108;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;Dropout
109;2;7;9;6;13.26666667;0;0;7;10;5;12.3;0;12.4;0.5;1.79;Dropout
115;0;7;7;6;12.51666667;1;0;7;7;6;12.51666667;1;7.6;2.6;0.32;Dropout
121;0;6;12;3;11;0;0;6;12;2;11;0;9.4;-0.8;-3.12;Dropout
123;0;0;0;0;0;0;0;0;0;0;0;0;10.8;1.4;1.74;Dropout
126;0;7;12;5;12.1;0;0;7;0;0;0;0;13.9;-0.3;0.79;Dropout
131;0;7;9;7;13.2375;0;0;8;9;7;13.74285714;0;13.9;-0.3;0.79;Dropout
134;0;7;8;5;14;0;0;7;7;0;0;0;13.9;-0.3;0.79;Dropout
136;0;6;7;5;12;0;0;6;9;4;12.5;0;12.4;0.5;1.79;Dropout
147;0;5;10;0;0;0;0;5;10;0;0;0;7.6;2.6;0.32;Dropout
148;0;6;8;5;11.2;0;0;6;12;3;11.66666667;0;7.6;2.6;0.32;Dropout
155;0;6;10;3;12.66666667;0;0;6;12;3;10;0;9.4;-0.8;-3.12;Dropout
156;0;6;8;6;12;0;0;6;10;4;11.5;0;7.6;2.6;0.32;Dropout
161;0;6;6;6;13.16666667;0;0;6;9;6;13;0;10.8;1.4;1.74;Dropout
164;0;6;13;4;11.5;0;0;6;10;3;11;0;10.8;1.4;1.74;Dropout
170;0;6;13;3;12;0;0;6;12;2;11.33333333;0;16.2;0.3;-0.92;Dropout
175;0;6;8;4;11.75;0;0;6;6;6;13.16666667;0;11.1;0.6;2.02;Dropout
178;0;7;8;4;11.95;0;0;7;8;4;11.95;0;7.6;2.6;0.32;Dropout
179;0;6;8;5;12.4;0;0;6;12;5;10.4;0;9.4;-0.8;-3.12;Dropout
180;2;7;8;6;14.35;0;3;8;10;6;14.58333333;0;16.2;0.3;-0.92;Dropout
183;0;6;6;5;12;0;0;6;6;0;0;0;11.1;0.6;2.02;Dropout
184;0;6;6;6;12.16666667;0;0;6;6;0;0;0;15.5;2.8;-4.06;Dropout
185;0;6;0;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
186;0;5;9;3;10;0;0;5;9;3;10.57142857;0;10.8;1.4;1.74;Dropout
189;0;6;10;2;11;0;0;6;6;0;0;0;8.9;1.4;3.51;Dropout
193;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
194;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
196;0;5;0;0;0;0;0;5;0;0;0;0;8.9;1.4;3.51;Dropout
198;0;5;0;0;0;0;0;5;0;0;0;0;13.9;-0.3;0.79;Dropout
504;0;5;9;1;12;1;0;4;10;0;0;4;10.8;1.4;1.74;Dropout
509;0;5;12;4;13;2;0;5;6;5;14;0;9.4;-0.8;-3.12;Dropout
510;0;5;6;0;0;0;0;5;5;0;0;0;15.5;2.8;-4.06;Dropout
512;0;5;5;0;0;0;0;5;10;0;0;0;10.8;1.4;1.74;Dropout
514;0;4;4;0;0;0;0;5;0;0;0;0;12.7;3.7;-1.7;Dropout
515;0;5;5;0;0;0;0;4;4;0;0;0;9.4;-0.8;-3.12;Dropout
516;0;6;0;0;0;0;0;6;0;0;0;0;9.4;-0.8;-3.12;Dropout
518;0;6;10;5;12.8;0;0;6;9;3;11.66666667;0;10.8;1.4;1.74;Dropout
519;0;6;11;1;10;0;0;6;11;1;11;0;9.4;-0.8;-3.12;Dropout
520;0;6;11;4;11.25;0;0;6;10;5;10.2;0;7.6;2.6;0.32;Dropout
525;0;7;8;4;12;0;0;8;8;0;0;0;16.2;0.3;-0.92;Dropout
526;0;5;12;1;12;0;0;5;9;1;11;4;16.2;0.3;-0.92;Dropout
529;0;5;5;0;0;0;0;5;9;0;0;0;10.8;1.4;1.74;Dropout
530;0;6;11;5;13.625;0;0;6;9;4;11.75;0;16.2;0.3;-0.92;Dropout
532;0;6;0;0;0;0;0;6;0;0;0;0;13.9;-0.3;0.79;Dropout
534;0;6;11;0;0;6;0;6;12;0;0;12;16.2;0.3;-0.92;Dropout
537;0;5;10;1;14;0;0;5;0;0;0;0;8.9;1.4;3.51;Dropout
540;0;6;9;4;12.5;0;0;6;6;6;11.33333333;0;10.8;1.4;1.74;Dropout
551;0;5;12;3;12;0;0;5;10;3;12;0;12.4;0.5;1.79;Dropout
552;0;6;10;4;13;0;0;6;9;4;13.75;0;12.7;3.7;-1.7;Dropout
553;5;11;12;9;11.77777778;0;3;8;11;3;13.66666667;0;15.5;2.8;-4.06;Dropout
554;0;5;10;2;11;0;0;6;10;0;0;0;11.1;0.6;2.02;Dropout
555;0;5;14;0;0;0;0;5;5;0;0;0;11.1;0.6;2.02;Dropout
556;9;14;16;14;12.42857143;0;3;9;13;6;10.85714286;0;15.5;2.8;-4.06;Dropout
563;0;5;13;1;10;0;0;5;8;2;11.33333333;0;12.4;0.5;1.79;Dropout
567;0;3;4;0;0;0;0;3;5;0;0;0;16.2;0.3;-0.92;Dropout
568;0;5;9;3;11.66666667;0;0;5;10;3;11.33333333;4;7.6;2.6;0.32;Dropout
572;0;5;9;0;0;0;0;5;5;1;12;0;7.6;2.6;0.32;Dropout
573;0;5;10;3;10.5;0;0;5;11;3;10.8;0;12.4;0.5;1.79;Dropout
576;0;5;12;0;0;4;0;5;8;0;0;1;9.4;-0.8;-3.12;Dropout
581;0;6;12;0;0;0;0;6;0;0;0;0;7.6;2.6;0.32;Dropout
596;10;15;15;11;11.45454545;0;9;13;16;11;11.54545455;0;10.8;1.4;1.74;Dropout
597;0;6;10;4;12;0;0;6;14;3;10;0;7.6;2.6;0.32;Dropout
598;0;7;8;6;12.66666667;0;0;7;9;5;12.6;0;8.9;1.4;3.51;Dropout
601;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
602;0;6;6;4;13;0;0;6;8;4;11.6;0;10.8;1.4;1.74;Dropout
606;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Dropout
607;0;5;7;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
609;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
622;0;5;15;2;10.75;0;0;5;11;2;10;0;13.9;-0.3;0.79;Dropout
623;0;6;11;4;13.25;0;0;6;10;4;10.25;0;9.4;-0.8;-3.12;Dropout
625;0;6;6;6;13.33333333;0;0;6;8;3;12.66666667;0;11.1;0.6;2.02;Dropout
626;0;6;8;5;12;0;0;6;9;5;10.8;0;12.7;3.7;-1.7;Dropout
640;0;6;6;6;12.66666667;0;0;6;6;6;11.83333333;0;12.7;3.7;-1.7;Dropout
641;0;6;7;4;13.5;0;0;6;6;0;0;6;12.7;3.7;-1.7;Dropout
645;0;6;0;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
660;0;6;6;0;0;0;0;6;6;0;0;0;11.1;0.6;2.02;Dropout
667;0;6;9;5;12.2;0;0;6;9;4;11.75;0;10.8;1.4;1.74;Dropout
669;0;7;0;0;0;0;0;8;0;0;0;0;12.4;0.5;1.79;Dropout
672;9;11;19;9;13.44444444;1;5;7;7;7;14.71428571;0;7.6;2.6;0.32;Dropout
676;0;6;11;2;10;0;0;6;15;2;11;0;7.6;2.6;0.32;Dropout
679;0;6;7;1;15;0;0;5;12;0;0;0;10.8;1.4;1.74;Dropout
683;2;5;8;5;14.4;1;0;5;6;5;14;0;12.7;3.7;-1.7;Dropout
684;0;6;0;0;0;0;0;6;0;0;0;0;13.9;-0.3;0.79;Dropout
687;3;3;3;3;12.33333333;0;2;2;2;2;11;0;12.4;0.5;1.79;Dropout
690;0;5;5;0;0;0;0;5;9;0;0;0;10.8;1.4;1.74;Dropout
691;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
694;0;7;18;3;11.25;0;0;7;7;0;0;0;16.2;0.3;-0.92;Dropout
696;0;5;15;4;13.33333333;0;0;5;6;2;13.5;0;13.9;-0.3;0.79;Dropout
700;0;5;10;3;17.33333333;0;0;5;11;1;17;0;13.9;-0.3;0.79;Dropout
702;0;5;9;3;14;0;0;5;8;3;13.66666667;0;8.9;1.4;3.51;Dropout
703;4;4;4;4;13.875;0;1;1;1;1;12.5;0;11.1;0.6;2.02;Dropout
704;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
706;0;5;8;5;13;0;0;5;11;4;13.33333333;2;16.2;0.3;-0.92;Dropout
710;0;6;6;0;0;0;0;5;6;0;0;0;12.4;0.5;1.79;Dropout
711;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
712;0;5;5;0;0;0;0;5;5;0;0;0;15.5;2.8;-4.06;Dropout
717;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
718;0;6;11;3;14.33333333;0;0;6;6;0;0;0;12.7;3.7;-1.7;Dropout
721;3;10;18;6;12.66666667;0;1;9;11;3;12;2;16.2;0.3;-0.92;Dropout
724;0;6;6;1;11;0;0;6;0;0;0;0;10.8;1.4;1.74;Dropout
725;0;5;9;0;0;4;0;5;9;0;0;3;10.8;1.4;1.74;Dropout
728;0;5;5;0;0;0;0;5;5;0;0;0;11.1;0.6;2.02;Dropout
731;0;6;11;5;12.16666667;0;0;6;15;3;12;0;13.9;-0.3;0.79;Dropout
735;0;6;9;0;0;0;0;6;6;0;0;0;16.2;0.3;-0.92;Dropout
738;0;6;17;2;10;0;0;6;15;3;11.33333333;0;7.6;2.6;0.32;Dropout
740;1;7;7;6;13.83333333;0;1;6;7;5;13;0;8.9;1.4;3.51;Dropout
741;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
743;0;7;8;5;14.2;0;0;7;9;6;12.4;0;12.4;0.5;1.79;Dropout
744;0;5;8;4;11.5;0;0;5;9;3;10.33333333;0;12.7;3.7;-1.7;Dropout
746;0;6;6;0;0;0;0;6;8;0;0;0;15.5;2.8;-4.06;Dropout
747;0;6;12;3;11.33333333;0;0;6;13;2;11;0;8.9;1.4;3.51;Dropout
749;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
754;0;5;5;0;0;0;0;5;6;0;0;0;10.8;1.4;1.74;Dropout
756;0;0;0;0;0;0;0;0;0;0;0;0;15.5;2.8;-4.06;Dropout
757;0;6;6;4;11.25;0;0;6;7;3;12.33333333;0;8.9;1.4;3.51;Dropout
758;10;15;24;12;11;0;10;14;21;11;11.36363636;1;7.6;2.6;0.32;Dropout
772;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
776;2;6;9;6;12;0;1;6;12;3;12;0;13.9;-0.3;0.79;Dropout
778;6;12;12;8;13.875;0;4;11;13;9;12.7;1;8.9;1.4;3.51;Dropout
782;0;6;10;2;11.66666667;0;0;6;10;4;10.5;0;15.5;2.8;-4.06;Dropout
789;0;5;5;5;14.4;0;0;5;5;5;14;0;7.6;2.6;0.32;Dropout
792;0;6;15;2;11.5;0;0;7;9;0;0;0;15.5;2.8;-4.06;Dropout
802;0;6;0;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
809;0;4;4;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
811;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
827;0;7;8;7;11.57142857;0;0;7;9;6;13.16666667;0;11.1;0.6;2.02;Dropout
830;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
831;0;6;8;6;11.66666667;0;0;6;10;6;11;0;13.9;-0.3;0.79;Dropout
832;0;6;12;0;0;0;0;5;10;0;0;0;7.6;2.6;0.32;Dropout
834;1;6;11;2;12;1;1;6;12;1;10;1;16.2;0.3;-0.92;Dropout
835;0;5;6;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
837;0;5;10;3;13.33333333;0;0;5;9;4;10.75;0;8.9;1.4;3.51;Dropout
839;0;5;5;0;0;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
841;0;5;14;0;0;0;0;5;5;0;0;0;8.9;1.4;3.51;Dropout
843;0;5;11;0;0;4;0;5;6;0;0;1;9.4;-0.8;-3.12;Dropout
846;0;0;0;0;0;0;0;0;0;0;0;0;9.4;-0.8;-3.12;Dropout
856;0;6;6;5;11.8;0;0;6;9;0;0;0;16.2;0.3;-0.92;Dropout
857;0;6;6;6;12.66666667;0;0;6;6;6;13.83333333;0;10.8;1.4;1.74;Dropout
858;0;6;6;0;0;0;0;6;6;0;0;0;11.1;0.6;2.02;Dropout
859;0;5;7;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
860;0;6;11;4;10.75;0;0;6;13;2;10;0;7.6;2.6;0.32;Dropout
861;0;5;7;5;12.6;0;0;5;9;3;13.25;0;13.9;-0.3;0.79;Dropout
862;0;5;5;0;0;0;0;5;5;0;0;0;9.4;-0.8;-3.12;Dropout
863;2;7;7;2;12;0;5;9;10;7;12.14285714;0;12.4;0.5;1.79;Dropout
864;0;6;7;3;14;0;0;6;9;2;14.5;0;13.9;-0.3;0.79;Dropout
865;2;6;6;6;14;0;1;6;11;6;13.5;0;12.4;0.5;1.79;Dropout
867;0;3;3;0;0;3;0;5;0;0;0;0;10.8;1.4;1.74;Dropout
868;0;5;6;0;0;0;0;5;7;0;0;0;12.4;0.5;1.79;Dropout
872;0;5;14;1;18;0;0;5;9;2;13;0;9.4;-0.8;-3.12;Dropout
877;0;6;8;4;11.5;0;0;6;7;5;11;0;15.5;2.8;-4.06;Dropout
878;0;7;7;2;10;0;0;7;7;0;0;0;15.5;2.8;-4.06;Dropout
880;2;7;8;5;12.2;0;5;9;10;7;12.14285714;1;16.2;0.3;-0.92;Dropout
883;0;6;15;1;11;0;0;6;10;0;0;0;16.2;0.3;-0.92;Dropout
884;0;6;8;3;13;0;4;10;14;6;11.42857143;0;16.2;0.3;-0.92;Dropout
892;0;0;0;0;0;0;0;0;0;0;0;0;16.2;0.3;-0.92;Dropout
894;0;5;9;0;0;0;0;5;10;0;0;0;9.4;-0.8;-3.12;Dropout
896;0;5;12;3;11.33333333;0;0;5;10;1;13;0;15.5;2.8;-4.06;Dropout
901;0;5;7;2;10;0;0;5;11;2;14;0;10.8;1.4;1.74;Dropout
905;0;5;12;1;10;2;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
907;0;6;7;0;0;0;0;6;6;0;0;0;16.2;0.3;-0.92;Dropout
910;0;0;0;0;0;0;0;0;0;0;0;0;15.5;2.8;-4.06;Dropout
913;0;5;6;5;10.6;0;0;5;9;2;11;0;12.7;3.7;-1.7;Dropout
915;0;7;0;0;0;0;0;8;0;0;0;0;13.9;-0.3;0.79;Dropout
917;0;5;10;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
918;0;6;0;0;0;0;0;6;0;0;0;0;9.4;-0.8;-3.12;Dropout
923;0;6;8;4;11.75;0;0;6;8;4;12.25;0;9.4;-0.8;-3.12;Dropout
924;0;7;14;3;11.5;0;0;7;9;2;10.5;0;16.2;0.3;-0.92;Dropout
927;0;5;8;1;14;2;0;5;12;0;0;4;10.8;1.4;1.74;Dropout
930;0;6;10;0;0;4;0;6;0;0;0;0;7.6;2.6;0.32;Dropout
934;0;5;8;3;11;0;0;5;9;2;11.5;0;7.6;2.6;0.32;Dropout
937;0;7;15;1;10.75;0;0;7;10;1;10;0;13.9;-0.3;0.79;Dropout
940;0;6;8;5;11.4;0;0;6;9;3;11;0;9.4;-0.8;-3.12;Dropout
944;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
948;0;4;8;0;0;0;0;4;8;0;0;0;7.6;2.6;0.32;Dropout
950;0;5;0;0;0;0;0;5;0;0;0;0;15.5;2.8;-4.06;Dropout
952;0;5;9;0;0;0;0;5;11;0;0;0;12.4;0.5;1.79;Dropout
954;0;7;0;0;0;0;0;8;0;0;0;0;9.4;-0.8;-3.12;Dropout
955;4;10;14;4;11.25;0;4;11;11;4;12;0;7.6;2.6;0.32;Dropout
956;0;5;6;3;13.33333333;0;0;5;5;1;11;0;7.6;2.6;0.32;Dropout
960;0;5;5;0;0;0;0;4;4;0;0;0;7.6;2.6;0.32;Dropout
961;0;5;7;3;11.66666667;0;0;5;8;2;11.5;1;7.6;2.6;0.32;Dropout
967;0;5;5;0;0;0;0;5;6;0;0;0;12.4;0.5;1.79;Dropout
968;0;6;9;0;0;0;0;6;6;0;0;0;13.9;-0.3;0.79;Dropout
969;0;5;5;0;0;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
972;0;5;5;1;10;0;0;5;5;0;0;0;7.6;2.6;0.32;Dropout
973;0;5;11;0;0;0;0;5;5;0;0;0;9.4;-0.8;-3.12;Dropout
979;0;5;6;5;10.6;0;0;5;7;5;14.66666667;0;10.8;1.4;1.74;Dropout
981;4;6;8;4;11.25;0;1;5;8;2;10.5;0;7.6;2.6;0.32;Dropout
985;0;5;8;2;10;0;0;5;8;1;16;0;7.6;2.6;0.32;Dropout
988;0;6;7;5;10.8;1;0;6;6;0;0;0;7.6;2.6;0.32;Dropout
989;0;6;11;3;12;0;0;6;12;2;10;0;11.1;0.6;2.02;Dropout
990;0;6;10;5;12.5;0;0;6;19;2;13.5;0;12.4;0.5;1.79;Dropout
993;0;6;8;6;11.42857143;0;0;6;7;6;11;0;11.1;0.6;2.02;Dropout
1000;0;6;6;6;12.5;0;0;6;6;6;13;0;7.6;2.6;0.32;Dropout
1001;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
1002;0;6;0;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
1005;0;6;6;6;16.5;0;0;6;7;6;17.42857143;0;11.1;0.6;2.02;Dropout
1014;0;6;0;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
1017;0;5;5;4;11;0;0;5;5;0;0;0;11.1;0.6;2.02;Dropout
1019;0;6;6;1;11;0;0;6;0;0;0;0;12.7;3.7;-1.7;Dropout
1026;0;5;8;2;11.5;0;0;5;7;2;10.5;0;7.6;2.6;0.32;Dropout
1035;0;6;6;2;13;0;0;6;6;0;0;0;12.4;0.5;1.79;Dropout
1037;0;6;0;0;0;0;0;6;0;0;0;0;11.1;0.6;2.02;Dropout
1046;0;5;5;0;0;0;0;5;6;0;0;0;12.4;0.5;1.79;Dropout
1047;0;6;8;6;13.16666667;0;0;6;7;6;13.16666667;0;10.8;1.4;1.74;Dropout
1053;0;7;8;7;14.85;0;0;8;8;8;15.2;0;13.9;-0.3;0.79;Dropout
1057;0;7;7;7;12.49571429;0;0;8;9;7;12.24285714;0;11.1;0.6;2.02;Dropout
1059;0;5;5;5;11.2;0;0;5;5;4;11.25;0;9.4;-0.8;-3.12;Dropout
1061;5;9;12;7;13.57142857;0;4;9;14;4;13.25;0;8.9;1.4;3.51;Dropout
1062;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
1066;7;12;12;11;14;0;4;10;11;8;14.625;0;13.9;-0.3;0.79;Dropout
1077;11;11;11;11;11.72727273;0;8;8;8;8;12;0;15.5;2.8;-4.06;Dropout
1078;0;6;8;4;12.5;0;0;6;11;1;14;0;7.6;2.6;0.32;Dropout
1079;0;0;0;0;0;0;0;0;0;0;0;0;13.9;-0.3;0.79;Dropout
1086;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
1092;0;6;6;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
1094;0;6;12;5;12;0;0;6;8;6;11.57142857;0;15.5;2.8;-4.06;Dropout
1096;0;6;8;3;13.66666667;0;0;6;7;3;10.66666667;0;15.5;2.8;-4.06;Dropout
1097;0;6;6;0;0;0;0;6;9;0;0;0;10.8;1.4;1.74;Dropout
1101;0;5;14;4;14.25;3;0;5;9;5;13.2;4;9.4;-0.8;-3.12;Dropout
1102;0;6;0;0;0;0;0;2;2;0;0;2;9.4;-0.8;-3.12;Dropout
1106;0;0;0;0;0;0;0;0;0;0;0;0;10.8;1.4;1.74;Dropout
1107;0;8;8;7;14.90142857;1;0;8;8;7;14.90142857;1;9.4;-0.8;-3.12;Dropout
1109;7;12;12;7;11;0;5;5;5;5;10.6;0;8.9;1.4;3.51;Dropout
1117;0;5;5;0;0;0;0;6;0;0;0;0;10.8;1.4;1.74;Dropout
1135;0;6;0;0;0;0;0;6;0;0;0;0;15.5;2.8;-4.06;Dropout
1136;4;9;9;4;11.25;0;3;10;12;3;11;0;12.4;0.5;1.79;Dropout
1138;0;6;8;6;12.16666667;0;0;6;11;3;11.66666667;0;10.8;1.4;1.74;Dropout
1143;0;5;5;4;15;0;0;5;5;4;13.75;0;7.6;2.6;0.32;Dropout
1152;0;0;0;0;0;0;0;0;0;0;0;0;15.5;2.8;-4.06;Dropout
1157;0;6;9;3;11.66666667;0;0;6;15;1;10;0;10.8;1.4;1.74;Dropout
1165;0;7;12;4;13.7;0;0;7;7;0;0;0;16.2;0.3;-0.92;Dropout
1167;4;7;9;7;11.75;0;3;8;12;7;11.14285714;0;12.7;3.7;-1.7;Dropout
1169;0;6;6;6;14;0;0;6;7;6;13.85714286;0;15.5;2.8;-4.06;Dropout
1173;0;5;6;1;10;0;0;5;7;1;12;0;10.8;1.4;1.74;Dropout
1176;0;6;7;4;11;0;0;6;7;3;11.25;0;16.2;0.3;-0.92;Dropout
1179;0;7;13;3;11.83333333;0;0;7;14;2;10;0;16.2;0.3;-0.92;Dropout
1181;0;7;12;4;11.5;0;0;7;14;3;12.33333333;0;16.2;0.3;-0.92;Dropout
1184;7;10;15;8;13.75;0;4;9;17;5;13.2;0;8.9;1.4;3.51;Dropout
1188;0;5;9;1;10;0;0;5;10;1;11;0;7.6;2.6;0.32;Dropout
1191;0;5;9;0;0;4;0;5;9;0;0;3;10.8;1.4;1.74;Dropout
1197;0;3;3;2;10;0;0;6;0;0;0;0;10.8;1.4;1.74;Dropout
1198;0;6;8;4;12.25;0;0;6;13;3;10.33333333;0;12.7;3.7;-1.7;Dropout
1203;0;5;8;3;10.66666667;0;0;5;14;2;14.8;0;10.8;1.4;1.74;Dropout
1205;0;6;11;1;13;0;0;6;12;0;0;0;9.4;-0.8;-3.12;Dropout
1209;0;6;12;1;11;0;0;6;0;0;0;0;12.7;3.7;-1.7;Dropout
1210;0;6;10;4;12.25;0;0;6;13;4;10.5;0;8.9;1.4;3.51;Dropout
1211;0;7;7;0;0;7;0;8;8;0;0;7;10.8;1.4;1.74;Dropout
1221;0;0;0;0;0;0;0;0;0;0;0;0;12.4;0.5;1.79;Dropout
1223;0;5;7;0;0;0;0;5;7;0;0;0;16.2;0.3;-0.92;Dropout
1236;0;5;9;2;12;0;0;5;9;3;11;0;10.8;1.4;1.74;Dropout
1238;0;5;5;1;16;0;0;5;5;0;0;0;9.4;-0.8;-3.12;Dropout
1240;0;6;7;0;0;0;0;6;6;0;0;0;15.5;2.8;-4.06;Dropout
1241;5;9;9;5;11.4;0;4;4;4;4;11;0;10.8;1.4;1.74;Dropout
1242;0;4;12;2;11;2;0;5;9;3;11.66666667;0;9.4;-0.8;-3.12;Dropout
1245;2;6;10;4;11.75;0;0;5;6;1;10;0;12.7;3.7;-1.7;Dropout
1246;0;7;11;1;10;0;0;7;7;1;13;0;16.2;0.3;-0.92;Dropout
1248;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
1250;0;6;11;3;13;0;0;6;10;5;11.8;0;9.4;-0.8;-3.12;Dropout
1256;0;6;7;0;0;0;0;6;16;1;10;0;11.1;0.6;2.02;Dropout
1262;0;5;5;0;0;0;2;6;7;2;14;0;13.9;-0.3;0.79;Dropout
1263;0;6;0;0;0;0;0;6;0;0;0;0;12.4;0.5;1.79;Dropout
1270;0;6;8;1;10;0;0;6;9;0;0;0;10.8;1.4;1.74;Dropout
